bonus_pct,user_conversion_rate,average_LTV,gross_margin,ltv_elasticity_per_pct,expected_revenue,contribution_margin
0.00,0.0800,120.00,0.550,0.00,9.60,5.28
0.025,0.1296,144.68,0.535,44.91,18.75,10.03
0.05,0.1558,161.42,0.520,33.47,25.16,13.08
0.075,0.1744,173.62,0.505,27.16,30.31,15.30
0.10,0.1888,182.91,0.490,23.14,34.55,16.93
0.125,0.2009,190.24,0.475,20.34,38.27,18.17
0.15,0.2114,196.18,0.460,18.17,41.46,19.07
0.175,0.2209,201.14,0.445,16.40,44.28,19.73
0.20,0.2297,205.37,0.430,14.92,46.78,20.12
0.225,0.2379,209.05,0.415,13.67,49.01,20.34
0.25,0.2456,212.33,0.400,12.61,51.03,20.41
0.275,0.2529,215.30,0.385,11.69,52.91,20.36
0.30,0.2598,218.01,0.370,10.89,54.65,20.22
0.325,0.2663,220.50,0.355,10.18,56.28,19.98
0.35,0.2726,222.79,0.340,9.56,57.83,19.66
0.375,0.2786,224.93,0.325,9.00,59.31,19.27
0.40,0.2844,226.91,0.310,8.50,60.74,18.83
0.425,0.2899,228.76,0.295,8.04,62.10,18.33
0.45,0.2953,230.49,0.280,7.63,63.43,17.76
0.475,0.3005,232.11,0.265,7.25,64.73,17.16
0.50,0.3055,233.63,0.250,6.90,66.00,16.50
